MgCa,orig_age,max_ma,min_ma
1.298916924,252.9654934,253.8253399,252.1026404
1.451532165,254.6851864,255.1106,253.8253399
1.553263133,255.5360136,255.9614272,255.1106
1.6549941,256.3868407,256.8122543,255.9614272
1.756725067,257.2376679,257.6630815,256.8122543
1.858456034,258.088495,258.9483416,257.6630815
2.011071276,259.8081881,260.2336017,258.9483416
2.112802243,260.6590152,261.5188618,260.2336017
2.265417484,262.3787083,263.2475742,261.5188618
2.367186032,264.1164401,264.9792931,263.2475742
2.502852375,265.842146,267.1544642,264.9792931
2.604658504,268.4667824,269.7851135,267.1544642
2.672566837,271.1034446,271.540884,269.7851135
2.706502214,271.9783234,272.8622216,271.540884
2.723526273,273.7461198,274.6360309,272.8622216
2.706652536,275.525942,276.8623119,274.6360309
2.672867483,278.1986817,279.5350516,276.8623119
2.63908243,280.8714214,282.2107977,279.5350516
2.588348478,283.550174,284.8895503,282.2107977
2.537614527,286.2289266,287.5652965,284.8895503
2.503829474,288.9016663,290.2350297,287.5652965
2.486993318,291.5683931,293.7886612,290.2350297
2.470232324,296.0089292,299.1130954,293.7886612
2.470495389,302.2172616,303.9940773,299.1130954
2.453696814,305.770893,307.997174,303.9940773
2.403038024,310.2234549,311.5718506,307.997174
2.30145738,312.9202462,314.262629,311.5718506
2.233774531,315.6050118,316.5039423,314.262629
2.166054101,317.4028727,318.2957902,316.5039423
2.132231467,319.1887077,320.0786188,318.2957902
2.115357731,320.9685299,321.4119822,320.0786188
2.115395311,321.8554345,322.2958804,321.4119822
2.13238179,322.7363263,323.1767722,322.2958804
2.149368268,323.617218,324.0546574,323.1767722
2.183303645,324.4920968,325.3639692,324.0546574
2.268123295,326.2358415,327.1017009,325.3639692
2.38684074,327.9675603,328.8334198,327.1017009
2.505558186,329.6992792,330.5651387,328.8334198
2.624275632,331.4309981,332.3028705,330.5651387
2.709095282,333.1747428,333.6091757,332.3028705
2.759979556,334.0436086,334.9275068,333.6091757
2.777003615,335.811405,336.2578638,334.9275068
2.760092298,336.7043225,337.1507813,336.2578638
2.743180981,337.5972401,338.0497118,337.1507813
2.692371869,338.5021834,338.9546551,338.0497118
2.641562756,339.4071268,339.8686179,338.9546551
2.53990695,340.3301089,341.2350523,339.8686179
2.438288725,342.1399956,342.6044932,341.2350523
2.319684021,343.0689907,343.5304818,342.6044932
2.218028216,343.9919728,344.4534639,343.5304818
2.11637241,344.9149549,345.3794524,344.4534639
1.997767706,345.8439499,346.3024345,345.3794524
1.913060798,346.7609191,347.2254166,346.3024345
1.794456094,347.6899141,348.1483987,347.2254166
1.709749186,348.6068833,349.0683744,348.1483987
1.608093381,349.5298654,349.9943629,349.0683744
1.489488677,350.4588604,350.9143386,349.9943629
1.421730667,351.3698167,351.8283013,350.9143386
1.337023759,352.2867859,352.7452705,351.8283013
1.25231685,353.2037551,353.6682526,352.7452705
1.133712147,354.1327501,355.0376935,353.6682526
1.032093922,355.9426368,356.8505867,355.0376935
0.913526799,357.7585365,358.2170211,356.8505867
0.828819891,358.6755056,360.0208949,358.2170211
0.744188144,361.3662841,362.2652146,360.0208949
0.676467714,363.164145,364.0570626,362.2652146
0.64264508,364.9499801,365.8398912,364.0570626
0.625771344,366.7298023,367.1702482,365.8398912
0.642757822,367.610694,368.4915857,367.1702482
0.676730779,369.3724774,370.6878021,368.4915857
0.76158801,372.0031267,372.8719926,370.6878021
0.863356558,373.7408585,374.6037115,372.8719926
0.999022902,375.4665644,376.3143851,374.6037115
1.219433734,377.1622058,377.1802446,376.3143851
1.117740347,377.1982833,377.6116711,377.1802446
1.287266906,378.0250588,378.8879118,377.6116711
1.422933249,379.7507648,380.6166242,378.8879118
1.541650695,381.4824836,381.9109037,380.6166242
1.626432764,382.3393237,382.7737567,381.9109037
1.677317038,383.2081896,384.0860749,382.7737567
1.728238893,384.9639601,385.4013995,384.0860749
1.762174269,385.8388389,386.2792848,385.4013995
1.779160748,386.7197306,387.1661894,386.2792848
1.762249431,387.6126482,388.5085722,387.1661894
1.711477899,389.4044962,389.8599743,388.5085722
1.643719888,390.3154524,391.2143829,389.8599743
1.575999459,392.1133133,392.5748044,391.2143829
1.474343653,393.0362954,393.9412388,392.5748044
1.372725428,394.8461822,395.3046668,393.9412388
1.28801852,395.7631514,396.6650883,395.3046668
1.203349192,397.5670252,398.0225034,396.6650883
1.135591182,398.4779815,399.376912,398.0225034
1.067870752,400.2758424,401.1717664,399.376912
1.017099221,402.0676904,403.4010538,401.1717664
1.000263065,404.7344172,405.6213218,403.4010538
1.000338226,406.5082264,407.8355769,405.6213218
1.017399866,409.1629274,410.0468256,407.8355769
1.034423925,410.9307237,411.8206348,410.0468256
1.017550189,412.7105459,414.0469158,411.8206348
0.983765136,415.3832856,416.2731967,414.0469158
0.966891399,417.1631078,418.0530189,416.2731967
0.950017663,418.9429299,420.2702804,418.0530189
0.967079303,421.5976309,422.4785226,420.2702804
1.00105226,423.3594143,423.7938473,422.4785226
1.051936534,424.2282802,425.1001526,423.7938473
1.136756184,425.9720249,426.400445,425.1001526
1.221538253,426.828865,427.2602915,426.400445
1.289371425,427.691718,428.1231445,427.2602915
1.357204597,428.5545709,428.982991,428.1231445
1.441986666,429.411411,429.8428375,428.982991
