orig_age,MgCa,max_ma,min_ma
324.6976261,4.315398887,325.722542,323.4221752
322.1467243,4.237476809,323.4221752,321.1312984
320.1158724,4.059369202,321.1312984,318.5927335
317.0695946,3.792207792,318.5927335,315.8041082
314.5386218,3.480519481,315.8041082,313.2712374
312.0038529,3.213358071,313.2712374,310.4859335
308.9680141,2.823747681,310.4859335,307.7020532
306.4360922,2.523191095,307.7020532,304.9115298
303.3869674,2.289424861,304.9115298,302.114838
300.8427086,2.133580705,302.114838,299.0524273
297.262146,2.133580705,299.0524273,295.9833736
294.7046012,2.133580705,295.9833736,293.4296248
292.1546484,2.044526902,293.4296248,290.6234431
289.0922377,1.966604824,290.6234431,287.8096694
286.527101,2.055658627,287.8096694,285.7536691
284.9802372,2.200371058,285.7536691,284.2020603
283.4238834,2.456400742,284.2020603,283.1572155
282.8905475,2.712430427,283.1572155,282.6238796
282.3572117,2.968460111,282.6238796,281.5780858
280.7989599,3.246753247,281.5780858,280.2727415
279.7465231,3.591836735,280.2727415,279.4784317
279.2103403,3.881261596,279.4784317,278.4331124
277.6558845,4.115027829,278.4331124,276.8829271
276.1099697,4.248608534,276.8829271,275.0841048
274.0582399,4.315398887,275.0841048,272.7823145
271.5063891,4.248608534,272.7823145,270.4895397
269.4726903,4.103896104,270.4895397,268.2015099
266.9303294,3.925788497,268.2015099,265.6605725
264.3908156,3.714285714,265.6605725,262.8695747
261.3483338,3.402597403,262.8695747,260.3362294
259.3241249,3.146567718,260.3362294,257.798139
256.2721531,2.94619666,257.798139,255.5101092
254.7480652,2.823747681,255.5101092,253.9826998
253.2173344,2.779220779,253.9826998,252.191944
251.1665536,2.834879406,252.191944,250.3950197
249.6234858,2.935064935,250.3950197,249.1029614
248.5824369,3.146567718,249.1029614,247.809954
247.0374711,3.269016698,247.809954,246.2645137
245.4915563,3.402597403,246.2645137,244.4666404
243.4417245,3.447124304,244.4666404,241.9067232
240.3717218,3.45825603,241.9067232,238.581915
236.7921081,3.447124304,238.581915,234.7493938
232.7066795,3.369202226,234.7493938,230.6653887
228.6240979,3.257884972,230.6653887,226.3298996
224.0357012,3.079777365,226.3298996,222.7664188
221.4971364,2.857142857,222.7664188,220.4836085
219.4700805,2.634508349,220.4836085,218.9633166
218.4565526,2.523191095,218.9633166,217.4363817
216.4162108,2.456400742,217.4363817,214.8793115
213.3424121,2.512059369,214.8793115,212.5713527
211.8002932,2.601113173,212.5713527,211.0287593
210.2572254,2.701298701,211.0287593,209.2294626
208.2016997,2.812615955,209.2294626,207.1729878
206.1442759,2.94619666,207.1729878,205.115564
204.0868521,3.079777365,205.115564,203.3148437
202.5428353,3.19109462,203.3148437,201.7694034
200.9959715,3.33580705,201.7694034,199.7115052
198.4270388,3.469387755,199.7115052,197.3988014
196.370564,3.591836735,197.3988014,195.5995046
194.8284452,3.680890538,195.5995046,194.0592838
193.2901224,3.72541744,194.0592838,192.01135
190.7325776,3.72541744,192.01135,189.9695847
189.2065917,3.625231911,189.9695847,188.1897423
187.1728929,3.480519481,188.1897423,186.412747
185.652601,3.313543599,186.412747,184.8915061
184.1304111,3.168831169,184.8915061,183.3702651
182.6101191,3.001855288,183.3702651,181.5942187
180.5783183,2.834879406,181.5942187,179.0547049
177.5310915,2.578849722,179.0547049,175.4964437
173.4617958,2.311688312,175.4964437,170.91469
168.3675842,2.066790353,170.91469,165.8171569
163.2667296,1.899814471,165.8171569,160.4605479
157.6543661,1.73283859,160.4605479,156.1217373
154.5891084,1.688311688,156.1217373,152.5430726
150.4970368,1.688311688,152.5430726,149.4740189
148.451001,1.688311688,149.4740189,147.1693816
145.8877622,1.755102041,147.1693816,144.0951084
142.3024546,1.810760668,144.0951084,141.0213097
139.7401648,1.866419295,141.0213097,138.4623415
137.1845181,1.844155844,138.4623415,136.4224742
135.6604302,1.721706865,136.4224742,134.3892498
133.1180694,1.543599258,134.3892498,132.1045415
131.0910135,1.32096475,132.1045415,130.3299186
129.5688236,1.176252319,130.3299186,128.5524487
127.5360737,1.020408163,128.5524487,126.7740298
126.0119858,0.897959184,126.7740298,125.2489929
124.4859999,0.797773655,125.2489929,122.6961931
120.9063863,0.786641929,122.6961931,119.3742319
117.8420775,0.730983302,119.3742319,116.8204831
115.7988887,0.697588126,116.8204831,114.5201164
