Column1,Rank,Family,Genus,Species,Museum_code,Museum_country,Publication,Museum_only,In_PBDB,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Age_resolution,Max_period,Min_period,early_stage,late_stage,max_ma,min_ma,interval_mid_ma,n_bins,bin_assignment,overlap_percentage,Finalised_lith,Finalised_grainsize,p_lng,p_lat,Combined_name,Finalised_grainsize_simp
519,Genus,Archaeocidaridae,Archaeocidaris,sp.,BMNH,England,NONE,1,NA,"Bundoran, Co. Donegal, Ireland",Europe,Ireland,54.48,-8.284,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Wackestone,0.8047,-5.5779,Archaeocidaris,Fine Grained
520,Genus,Proterocidaridae,Pholidocidaris,sp.,BMNH,England,NONE,1,NA,Eskdale,Europe,England,54.396,-3.234,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,Shale,-32.0088,-17.7314,Pholidocidaris,Fine Grained
521,Family,Archaeocidaridae,NA,NA,BMNH,England,NONE,1,NA,Eskdale,Europe,England,54.396,-3.234,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,Shale,-32.0088,-17.7314,NA,Fine Grained
522,Family,Archaeocidaridae,NA,NA,BMNH,England,NONE,1,NA,"Bypass, about 1/2 mile East of Chatburn Lancs. Grid Ref SD 776443",Europe,England,53.894,-2.342,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,Peach Quarry Limestone Member,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Mudstone,3.434,-13.8685,NA,Fine Grained
523,Species,Lepidocentridae,Pholidechinus,brauni,BMNH,England,NONE,1,NA,"Crawfordsville, Indiana",North America,USA,40.049,-86.9,Minutes,NA,Edwardsville Formation,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,Siltstone,-36.6853,-8.8446,Pholidechinus brauni,Fine Grained
526,Genus,Proterocidaridae,Pholidocidaris,sp.,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Wackestone,0.2653,-3.7905,Pholidocidaris,Fine Grained
527,Genus,Proterocidaridae,Pholidocidaris,sp.,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,0.2653,-3.7905,Pholidocidaris,NA
529,Species,Lepidesthidae,Lepidesthes,caledonica,BMNH,England,NONE,1,NA,"Roscobie, Fifeshire, Scotland",Europe,Scotland,56.125,-3.457,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Wackestone,1.4044,-6.7897,Lepidesthes caledonica,Fine Grained
530,Family,Palaechinidae,NA,NA,BMNH,England,NONE,1,NA,"Bundoran, Co. Donegal, Ireland",Europe,Ireland,54.48,-8.284,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,,0.8047,-5.5779,NA,NA
531,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Locality 8 (Owen Notebook) The more westery of two old quarries 200 yards W.N.W. of Dooker House, Newsholme, N Yorks (SD 84805195",Europe,England,53.963,-2.233,Seconds,Worston Shale Group,Thornton Shales-with-Limestone,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Wackestone,-3.374,-14.2365,Melonechinus,Fine Grained
